Scaffold_ID	Scaffold_Name	VCF
CM078115.1	chr1	allsistrurus.CM078115.1.minDP4.noinf.norm.vcf.gz
CM078116.1	chr2	allsistrurus.MHC.minDP4.noinf.norm.vcf.gz
CM078117.1	chr3	allsistrurus.CM078117.1.minDP4.noinf.norm.vcf.gz
CM078118.1	chr4	allsistrurus.CM078118.1.minDP4.noinf.norm.vcf.gz
CM078119.1	chr5	allsistrurus.CM078119.1.minDP4.noinf.norm.vcf.gz
CM078120.1	chr6	allsistrurus.CM078120.1.minDP4.noinf.norm.vcf.gz
CM078121.1	chr7	allsistrurus.CM078121.1.minDP4.noinf.norm.vcf.gz
CM078122.1	chr8	allsistrurus.venom.minDP4.noinf.norm.vcf.gz
CM078123.1	chr9	allsistrurus.venom.minDP4.noinf.norm.vcf.gz
CM078124.1	chr10	allsistrurus.CM078124.1.minDP4.noinf.norm.vcf.gz
CM078125.1	chr11	allsistrurus.CM078125.1.minDP4.noinf.norm.vcf.gz
CM078126.1	chr12	allsistrurus.CM078126.1.minDP4.noinf.norm.vcf.gz
CM078127.1	chr13	allsistrurus.CM078127.1.minDP4.noinf.norm.vcf.gz
CM078128.1	chr14	allsistrurus.CM078128.1.minDP4.noinf.norm.vcf.gz
CM078129.1	chr15	allsistrurus.CM078129.1.minDP4.noinf.norm.vcf.gz
CM078130.1	chr16	allsistrurus.CM078130.1.minDP4.noinf.norm.vcf.gz
CM078131.1	chr17	allsistrurus.venom.minDP4.noinf.norm.vcf.gz
CM078132.1	chrZ	allsistrurus.CM078132.1.minDP4.noinf.norm.vcf.gz
CM078157.1	chrM	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000009.1	SUPER_9	allsistrurus.JBAIFV010000009.1.minDP4.noinf.norm.vcf.gz
JBAIFV010000016.1	SUPER_16	allsistrurus.JBAIFV010000016.1.minDP4.noinf.norm.vcf.gz
JBAIFV010000021.1	SUPER_21	allsistrurus.MHC.minDP4.noinf.norm.vcf.gz
JBAIFV010000022.1	Scaffold_41	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000023.1	Scaffold_42	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000024.1	Scaffold_61	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000025.1	Scaffold_43	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000026.1	Scaffold_64	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000027.1	Scaffold_53	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000028.1	Scaffold_66	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000029.1	Scaffold_69	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000030.1	Scaffold_50	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000031.1	Scaffold_45	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000032.1	Scaffold_72	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000033.1	Scaffold_74	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000034.1	Scaffold_47	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000035.1	Scaffold_77	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000036.1	Scaffold_46	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000037.1	Scaffold_79	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000038.1	Scaffold_82	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000039.1	Scaffold_84	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000040.1	Scaffold_85	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000041.1	Scaffold_87	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000042.1	Scaffold_89	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000043.1	Scaffold_93	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000044.1	Scaffold_95	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000045.1	Scaffold_97	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000046.1	Scaffold_98	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000047.1	Scaffold_103	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000048.1	Scaffold_104	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000049.1	Scaffold_107	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000050.1	Scaffold_108	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000051.1	Scaffold_109	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000052.1	Scaffold_110	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000053.1	Scaffold_113	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000054.1	Scaffold_117	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000055.1	Scaffold_118	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000056.1	Scaffold_120	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000057.1	Scaffold_127	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000058.1	Scaffold_130	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000059.1	Scaffold_131	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000060.1	Scaffold_138	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000061.1	Scaffold_141	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000062.1	Scaffold_142	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000063.1	Scaffold_143	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000064.1	Scaffold_144	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000065.1	Scaffold_147	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000066.1	Scaffold_148	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000067.1	Scaffold_149	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000068.1	Scaffold_152	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000069.1	Scaffold_153	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000070.1	Scaffold_154	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000071.1	Scaffold_155	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000072.1	Scaffold_156	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000073.1	Scaffold_157	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000074.1	Scaffold_158	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000075.1	Scaffold_160	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000076.1	Scaffold_161	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000077.1	Scaffold_162	allsistrurus.MHC.minDP4.noinf.norm.vcf.gz
JBAIFV010000078.1	Scaffold_166	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000079.1	Scaffold_168	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000080.1	Scaffold_169	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000081.1	Scaffold_170	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000082.1	Scaffold_175	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000083.1	Scaffold_176	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000084.1	Scaffold_180	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000085.1	Scaffold_185	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000086.1	Scaffold_186	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000087.1	Scaffold_187	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000088.1	Scaffold_189	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000089.1	Scaffold_190	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000090.1	Scaffold_191	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
